                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.171,                0.92643,                0.99847,                0.87086,                0.80286,                0.89272,                0.58723,                  1.279,                    inf,                 1.0458,             0.00065278,             0.00065278,             0.00065278
                      2,                0.99514,                0.59349,                0.92117,                0.81661,                0.75307,                0.85081,                0.53067,                 1.3921,                    inf,                 1.1148,              0.0012759,              0.0012759,              0.0012759
                      3,                0.96939,                0.57921,                0.92093,                0.82645,                0.74325,                0.82997,                0.53088,                  1.376,                    inf,                 1.1103,               0.001855,               0.001855,               0.001855
                      4,                0.94634,                0.56222,                0.91599,                0.86169,                0.78967,                0.87325,                0.54787,                 1.4036,                    inf,                 1.1217,               0.001802,               0.001802,               0.001802
                      5,                0.90304,                0.52468,                0.90645,                0.88869,                0.81471,                0.90175,                0.59813,                 1.3123,                    inf,                 1.0972,               0.001802,               0.001802,               0.001802
                      6,                 0.8573,                0.49394,                0.89359,                0.88501,                0.80516,                0.89632,                0.60115,                 1.2662,                    inf,                 1.0626,               0.001736,               0.001736,               0.001736
                      7,                0.82922,                0.48828,                0.88837,                0.87161,                0.80991,                0.89675,                0.57837,                 1.3432,                    inf,                 1.0821,                0.00167,                0.00167,                0.00167
                      8,                0.79221,                0.45972,                 0.8787,                0.89033,                0.81505,                0.89903,                0.59819,                 1.3359,                    inf,                 1.0807,               0.001604,               0.001604,               0.001604
                      9,                0.77769,                0.45317,                0.87709,                0.89016,                0.81798,                0.89907,                0.60088,                 1.2964,                    inf,                 1.0774,               0.001538,               0.001538,               0.001538
                     10,                0.77362,                0.44374,                0.87348,                0.89914,                0.80389,                0.89929,                0.61541,                 1.2721,                    inf,                 1.0566,               0.001472,               0.001472,               0.001472
                     11,                0.74422,                0.42522,                0.86768,                 0.8904,                0.82522,                0.91114,                0.63195,                 1.2175,                    inf,                 1.0502,               0.001406,               0.001406,               0.001406
                     12,                0.73245,                0.41783,                0.86414,                0.89711,                0.80241,                0.89679,                0.62933,                 1.2591,                    inf,                 1.0505,                0.00134,                0.00134,                0.00134
                     13,                0.71723,                0.41578,                0.86178,                0.89255,                 0.8084,                0.90032,                0.61506,                 1.2627,                    inf,                   1.06,               0.001274,               0.001274,               0.001274
                     14,                0.70415,                0.40644,                0.86077,                0.89729,                0.82383,                0.90581,                 0.6185,                 1.2601,                    inf,                 1.0524,               0.001208,               0.001208,               0.001208
                     15,                0.70321,                0.39954,                0.85852,                0.89318,                0.80377,                0.90002,                0.62549,                 1.2336,                    inf,                 1.0465,               0.001142,               0.001142,               0.001142
                     16,                0.68392,                0.39171,                0.85771,                0.89188,                0.81727,                0.90847,                0.63645,                 1.2085,                    inf,                 1.0446,               0.001076,               0.001076,               0.001076
                     17,                0.67948,                0.38835,                0.85496,                 0.8954,                 0.8139,                0.90785,                0.62454,                 1.2642,                    inf,                 1.0508,                0.00101,                0.00101,                0.00101
                     18,                0.66068,                0.37337,                0.85123,                 0.8903,                0.82892,                0.90996,                0.64006,                 1.2104,                    inf,                 1.0317,               0.000944,               0.000944,               0.000944
                     19,                0.64358,                 0.3686,                0.84984,                0.89533,                0.81074,                0.90358,                 0.6328,                 1.2527,                    inf,                 1.0552,               0.000878,               0.000878,               0.000878
                     20,                0.64195,                0.36712,                0.84918,                0.89998,                0.81215,                0.90625,                0.64475,                  1.195,                    inf,                 1.0351,               0.000812,               0.000812,               0.000812
                     21,                0.62492,                0.35948,                0.83598,                0.88742,                0.82042,                 0.9044,                0.63861,                 1.2207,                    inf,                 1.0448,               0.000746,               0.000746,               0.000746
                     22,                0.61086,                0.34859,                0.83198,                 0.8905,                  0.825,                0.90523,                 0.6279,                  1.238,                    inf,                 1.0496,                0.00068,                0.00068,                0.00068
                     23,                0.59863,                  0.342,                0.82982,                0.89922,                0.80727,                0.90043,                0.63844,                 1.1976,                    inf,                 1.0343,               0.000614,               0.000614,               0.000614
                     24,                0.58866,                0.33526,                0.82783,                0.90353,                0.80686,                0.90117,                0.63875,                 1.2034,                    inf,                 1.0401,               0.000548,               0.000548,               0.000548
                     25,                0.57333,                0.32695,                0.82519,                0.90547,                 0.8032,                0.90074,                0.64556,                 1.1811,                    inf,                 1.0254,               0.000482,               0.000482,               0.000482
                     26,                0.56016,                0.31702,                0.82268,                0.90228,                 0.7971,                0.89698,                0.64037,                 1.2048,                    inf,                  1.034,               0.000416,               0.000416,               0.000416
                     27,                0.55256,                0.31434,                0.82041,                0.90208,                0.80656,                0.90319,                 0.6468,                 1.2032,                    inf,                 1.0344,                0.00035,                0.00035,                0.00035
                     28,                0.53827,                0.30594,                0.81789,                0.90192,                0.81041,                0.90335,                 0.6516,                 1.1927,                    inf,                 1.0351,               0.000284,               0.000284,               0.000284
                     29,                0.52856,                0.29978,                0.81664,                 0.9084,                0.79952,                0.90282,                0.65065,                 1.1932,                    inf,                 1.0288,               0.000218,               0.000218,               0.000218
                     30,                0.51916,                0.29483,                0.81529,                0.90407,                0.81176,                0.90921,                0.65326,                 1.1938,                    inf,                  1.034,               0.000152,               0.000152,               0.000152
